gen,attempt_add,exec_add,attempt_del,exec_del,attempt_mod,exec_mod,attempt_mode,exec_mode,attempt_total,exec_total,attempt_share_add,attempt_share_del,attempt_share_mod,attempt_share_mode,exec_share_add,exec_share_del,exec_share_mod,exec_share_mode,success_rate,success_add,success_del,success_mod,success_mode
0,5,3,3,3,9,5,4,0,21,11,0.23809523809523808,0.14285714285714285,0.42857142857142855,0.19047619047619047,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.0,0.5238095238095238,0.6,1.0,0.5555555555555556,0.0
1,2,2,0,0,7,0,7,0,16,2,0.125,0.0,0.4375,0.4375,1.0,0.0,0.0,0.0,0.125,1.0,0.0,0.0,0.0
2,10,10,3,3,7,2,5,0,25,15,0.4,0.12,0.28,0.2,0.6666666666666666,0.2,0.13333333333333333,0.0,0.6,1.0,1.0,0.2857142857142857,0.0
3,3,2,2,2,11,4,3,0,19,8,0.15789473684210525,0.10526315789473684,0.5789473684210527,0.15789473684210525,0.25,0.25,0.5,0.0,0.42105263157894735,0.6666666666666666,1.0,0.36363636363636365,0.0
4,2,2,2,2,6,1,1,0,11,5,0.18181818181818182,0.18181818181818182,0.5454545454545454,0.09090909090909091,0.4,0.4,0.2,0.0,0.45454545454545453,1.0,1.0,0.16666666666666666,0.0
5,4,4,0,0,7,1,3,0,14,5,0.2857142857142857,0.0,0.5,0.21428571428571427,0.8,0.0,0.2,0.0,0.35714285714285715,1.0,0.0,0.14285714285714285,0.0
6,7,7,2,2,7,2,4,0,20,11,0.35,0.1,0.35,0.2,0.6363636363636364,0.18181818181818182,0.18181818181818182,0.0,0.55,1.0,1.0,0.2857142857142857,0.0
7,5,5,0,0,6,2,2,0,13,7,0.38461538461538464,0.0,0.46153846153846156,0.15384615384615385,0.7142857142857143,0.0,0.2857142857142857,0.0,0.5384615384615384,1.0,0.0,0.3333333333333333,0.0
8,8,7,1,1,8,2,5,0,22,10,0.36363636363636365,0.045454545454545456,0.36363636363636365,0.22727272727272727,0.7,0.1,0.2,0.0,0.45454545454545453,0.875,1.0,0.25,0.0
9,3,2,2,2,13,3,3,0,21,7,0.14285714285714285,0.09523809523809523,0.6190476190476191,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,0.3333333333333333,0.6666666666666666,1.0,0.23076923076923078,0.0
10,5,4,0,0,7,2,7,0,19,6,0.2631578947368421,0.0,0.3684210526315789,0.3684210526315789,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3157894736842105,0.8,0.0,0.2857142857142857,0.0
11,4,4,1,1,9,2,1,0,15,7,0.26666666666666666,0.06666666666666667,0.6,0.06666666666666667,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,0.4666666666666667,1.0,1.0,0.2222222222222222,0.0
12,4,3,1,1,9,1,6,0,20,5,0.2,0.05,0.45,0.3,0.6,0.2,0.2,0.0,0.25,0.75,1.0,0.1111111111111111,0.0
13,7,7,1,1,9,0,7,0,24,8,0.2916666666666667,0.041666666666666664,0.375,0.2916666666666667,0.875,0.125,0.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.0
14,6,5,0,0,5,2,5,0,16,7,0.375,0.0,0.3125,0.3125,0.7142857142857143,0.0,0.2857142857142857,0.0,0.4375,0.8333333333333334,0.0,0.4,0.0
15,5,5,3,3,13,4,4,0,25,12,0.2,0.12,0.52,0.16,0.4166666666666667,0.25,0.3333333333333333,0.0,0.48,1.0,1.0,0.3076923076923077,0.0
16,5,4,2,2,12,4,1,0,20,10,0.25,0.1,0.6,0.05,0.4,0.2,0.4,0.0,0.5,0.8,1.0,0.3333333333333333,0.0
17,4,3,2,2,8,3,2,0,16,8,0.25,0.125,0.5,0.125,0.375,0.25,0.375,0.0,0.5,0.75,1.0,0.375,0.0
18,4,3,0,0,11,5,4,0,19,8,0.21052631578947367,0.0,0.5789473684210527,0.21052631578947367,0.375,0.0,0.625,0.0,0.42105263157894735,0.75,0.0,0.45454545454545453,0.0
19,2,2,1,1,5,1,3,0,11,4,0.18181818181818182,0.09090909090909091,0.45454545454545453,0.2727272727272727,0.5,0.25,0.25,0.0,0.36363636363636365,1.0,1.0,0.2,0.0
20,3,3,2,2,8,2,3,0,16,7,0.1875,0.125,0.5,0.1875,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,0.4375,1.0,1.0,0.25,0.0
